shipment_id,origin_city,dest_city,mode,carrier,dest_tier,distance_km,weight_kg,delivery_time_days,cost_inr,delayed,ship_date
68,Bengaluru,Coimbatore,Road,Partner-B,Tier-2,602.0,15.0,2.7,910.0,0,2026-05-16
69,Pune,Chennai,Road,Partner-A,Tier-1,278.0,5.77,1.9,469.0,0,2026-03-14
70,Nagpur,Hyderabad,Road,Partner-B,Tier-1,329.0,2.46,0.9,497.0,0,2026-02-14
71,Chennai,Coimbatore,Air,InHouse Fleet,Tier-2,698.0,6.52,1.9,2140.0,1,2026-01-17
72,Chennai,Hyderabad,Road,Partner-A,Tier-1,323.0,14.0,1.4,733.0,0,2026-06-18
73,Bengaluru,Kochi,Road,Partner-A,Tier-2,422.0,3.15,1.6,592.0,0,2026-03-18
75,Coimbatore,Indore,Air,Partner-A,Tier-2,738.0,3.51,1.8,2086.0,1,2026-05-17
76,Chennai,Indore,Air,Partner-A,Tier-2,299.0,3.2,2.1,1078.0,0,2026-07-17
78,Pune,Indore,Road,InHouse Fleet,Tier-2,281.0,1.58,1.5,407.0,1,2026-04-01
80,Pune,Kochi,Air,InHouse Fleet,Tier-2,783.0,5.58,2.3,2454.0,0,2026-04-16
81,Indore,Bengaluru,Road,Partner-A,Tier-1,441.0,5.09,1.2,700.0,0,2026-04-11
84,Kochi,Nagpur,Rail,Partner-A,Tier-2,640.0,0.94,2.3,508.0,0,2026-04-13
85,Indore,Bengaluru,Road,InHouse Fleet,Tier-1,99.0,2.64,0.9,186.0,0,2026-08-23
86,Hyderabad,Coimbatore,Road,InHouse Fleet,Tier-2,523.0,6.15,2.3,804.0,0,2026-01-24
87,Nagpur,Chennai,Road,InHouse Fleet,Tier-1,303.0,8.67,1.5,524.0,0,2026-03-14
89,Pune,Kochi,Air,Partner-B,Tier-2,363.0,10.38,0.5,1763.0,0,2026-05-01
90,Chennai,Coimbatore,Road,InHouse Fleet,Tier-2,517.0,9.17,1.6,906.0,0,2026-04-16
91,Kochi,Chennai,Air,Partner-A,Tier-1,467.0,5.33,0.6,1692.0,0,2026-05-19
93,Chennai,Nagpur,Road,InHouse Fleet,Tier-2,907.0,1.32,2.2,976.0,0,2026-02-04
94,Nagpur,Chennai,Road,Partner-B,Tier-1,275.0,4.46,1.9,516.0,0,2026-06-06
95,Nagpur,Indore,Road,InHouse Fleet,Tier-2,786.0,0.31,2.6,827.0,0,2026-05-16
96,Nagpur,Hyderabad,Air,InHouse Fleet,Tier-1,40.0,6.17,1.2,750.0,0,2026-01-17
98,Pune,Chennai,Road,InHouse Fleet,Tier-1,469.0,,3.1,558.0,0,2026-07-18
100,Coimbatore,Hyderabad,Road,InHouse Fleet,Tier-1,205.0,0.56,1.3,348.0,0,2026-05-20
102,Chennai,Coimbatore,Road,InHouse Fleet,Tier-2,705.0,7.03,2.9,915.0,1,2026-08-28
103,Chennai,Coimbatore,Road,Partner-A,Tier-2,605.0,13.89,2.4,883.0,0,2026-07-26
104,Pune,Chennai,Road,InHouse Fleet,Tier-1,588.0,1.12,4.0,652.0,1,2026-04-03
105,Chennai,Kochi,Air,InHouse Fleet,Tier-2,493.0,7.45,0.6,1716.0,0,2026-04-19
106,Chennai,Kochi,Road,Partner-A,Tier-2,763.0,3.87,2.3,906.0,0,2026-02-19
107,Nagpur,Hyderabad,Air,Partner-B,Tier-1,300.0,2.76,1.6,1075.0,0,2026-04-24
108,Pune,Hyderabad,Rail,InHouse Fleet,Tier-1,322.0,2.77,1.2,466.0,0,2026-01-24
109,Nagpur,Indore,Road,Partner-B,Tier-2,617.0,3.87,2.7,761.0,0,2026-02-06
110,Indore,Nagpur,Rail,Partner-A,Tier-2,498.0,3.86,1.9,555.0,0,2026-07-25
111,Kochi,Pune,Road,Partner-A,Tier-1,347.0,5.16,2.3,458.0,0,2026-01-11
112,Indore,Coimbatore,Road,Partner-A,Tier-2,639.0,,1.7,759.0,0,2026-04-09
113,Kochi,Nagpur,Road,InHouse Fleet,Tier-2,693.0,3.02,2.6,741.0,0,2026-07-28
114,Nagpur,Bengaluru,Air,InHouse Fleet,Tier-1,365.0,7.96,1.6,1645.0,0,2026-07-06
115,Indore,Coimbatore,Road,Partner-A,Tier-2,794.0,2.32,2.8,785.0,0,2026-02-24
116,Pune,Nagpur,Road,InHouse Fleet,Tier-2,816.0,6.47,2.9,983.0,0,2026-01-27
117,Bengaluru,Coimbatore,Road,Partner-B,Tier-2,461.0,4.03,2.7,526.0,1,2026-08-24
118,Nagpur,Pune,Road,InHouse Fleet,Tier-1,506.0,3.38,1.3,627.0,0,2026-03-08
119,Kochi,Bengaluru,Road,InHouse Fleet,Tier-1,136.0,16.91,1.4,746.0,0,2026-07-07
120,Coimbatore,Kochi,Air,Partner-A,Tier-2,756.0,1.62,0.9,2126.0,0,2026-01-02
122,Coimbatore,Pune,Road,Partner-A,Tier-1,462.0,14.53,2.5,857.0,0,2026-03-09
123,Chennai,Indore,Rail,Partner-A,Tier-2,306.0,9.57,1.1,328.0,0,2026-05-26
124,Indore,Bengaluru,Road,Partner-B,Tier-1,367.0,3.13,1.0,456.0,0,2026-05-28
125,Coimbatore,Chennai,Rail,Partner-A,Tier-1,266.0,9.76,2.0,479.0,0,2026-08-01
126,Kochi,Nagpur,Road,Partner-A,Tier-2,513.0,0.2,2.0,516.0,0,2026-03-04
127,Chennai,Bengaluru,Road,Partner-A,Tier-1,593.0,2.88,2.5,771.0,0,2026-07-25
128,Bengaluru,Indore,Road,Partner-B,Tier-2,532.0,2.35,3.0,622.0,0,2026-03-13
129,Pune,Indore,Air,InHouse Fleet,Tier-2,505.0,7.09,1.6,1915.0,0,2026-05-10
131,Pune,Coimbatore,Road,InHouse Fleet,Tier-2,664.0,8.79,2.6,910.0,1,2026-08-06
132,Coimbatore,Bengaluru,Road,InHouse Fleet,Tier-1,473.0,7.01,2.0,664.0,0,2026-03-24
133,Bengaluru,Nagpur,Road,Partner-A,Tier-2,625.0,5.86,1.7,761.0,0,2026-02-11
134,Coimbatore,Bengaluru,Road,Partner-A,Tier-1,560.0,10.21,2.1,779.0,0,2026-06-05
135,Indore,Hyderabad,Road,Partner-A,Tier-1,446.0,9.23,3.2,778.0,0,2026-06-06
137,Bengaluru,Nagpur,Road,Partner-A,Tier-2,258.0,3.07,1.3,363.0,0,2026-07-16
138,Bengaluru,Kochi,Air,InHouse Fleet,Tier-2,555.0,3.37,1.3,1757.0,0,2026-04-17
139,Indore,Nagpur,Road,Partner-A,Tier-2,549.0,8.87,3.0,764.0,1,2026-01-28
140,Bengaluru,Chennai,Air,Partner-A,Tier-1,436.0,5.12,0.5,6732.0,0,2026-07-07
141,Kochi,Pune,Air,InHouse Fleet,Tier-1,40.0,5.4,1.4,686.0,0,2026-04-15
142,Bengaluru,Chennai,Road,InHouse Fleet,Tier-1,809.0,5.95,2.0,912.0,0,2026-04-22
143,Pune,Nagpur,Road,InHouse Fleet,Tier-2,746.0,0.87,2.9,749.0,0,2026-08-06
144,Kochi,Coimbatore,Road,Partner-B,Tier-2,677.0,2.95,2.5,688.0,1,2026-05-13
145,Kochi,Bengaluru,Road,Partner-B,Tier-1,563.0,7.54,2.6,746.0,0,2026-01-15
146,Indore,Kochi,Air,Partner-A,Tier-2,1072.0,2.92,1.2,2908.0,0,2026-04-20
147,Hyderabad,Bengaluru,Road,InHouse Fleet,Tier-1,507.0,4.41,1.8,629.0,0,2026-03-14
148,Hyderabad,Coimbatore,Road,InHouse Fleet,Tier-2,821.0,7.5,3.2,1055.0,0,2026-06-09
149,Bengaluru,Nagpur,Road,Partner-A,Tier-2,674.0,10.6,2.2,960.0,0,2026-06-29
150,Kochi,Indore,Air,Partner-A,Tier-2,625.0,11.48,1.9,2602.0,0,2026-03-31
151,Hyderabad,Bengaluru,Road,InHouse Fleet,Tier-1,264.0,11.92,1.7,641.0,0,2026-02-06
152,Hyderabad,Indore,Road,InHouse Fleet,Tier-2,501.0,4.75,1.8,546.0,1,2026-05-23
154,Hyderabad,Bengaluru,Air,InHouse Fleet,Tier-1,226.0,4.37,1.0,1008.0,0,2026-06-18
155,Coimbatore,Kochi,Road,InHouse Fleet,Tier-2,407.0,1.83,1.9,484.0,0,2026-01-04
156,Chennai,Pune,Road,InHouse Fleet,Tier-1,336.0,13.94,1.6,694.0,0,2026-06-30
157,Indore,Pune,Road,Partner-A,Tier-1,47.0,4.22,1.5,232.0,0,2026-08-16
158,Chennai,Hyderabad,Road,Partner-B,Tier-1,384.0,13.72,1.6,730.0,0,2026-03-25
159,Bengaluru,Chennai,Road,Partner-B,Tier-1,343.0,6.6,1.4,574.0,0,2026-06-04
160,Pune,Coimbatore,Air,Partner-A,Tier-2,676.0,10.94,2.1,2386.0,1,2026-05-29
161,Indore,Coimbatore,Road,Partner-A,Tier-2,556.0,5.01,2.0,774.0,0,2026-03-01
162,Bengaluru,Coimbatore,Road,InHouse Fleet,Tier-2,1204.0,8.04,3.4,1270.0,0,2026-03-27
163,Kochi,Hyderabad,Road,Partner-A,Tier-1,595.0,11.2,1.5,880.0,0,2026-07-11
165,Chennai,Nagpur,Road,Partner-A,Tier-2,426.0,3.53,1.3,508.0,0,2026-03-12
166,Bengaluru,Indore,Rail,InHouse Fleet,Tier-2,692.0,11.97,1.8,820.0,0,2026-06-24
169,Indore,Nagpur,Road,InHouse Fleet,Tier-2,541.0,2.08,1.9,608.0,0,2026-07-01
170,Nagpur,Kochi,Road,InHouse Fleet,Tier-2,467.0,16.62,1.6,931.0,0,2026-01-31
171,Kochi,Hyderabad,Road,InHouse Fleet,Tier-1,109.0,5.97,1.8,394.0,0,2026-01-17
172,Coimbatore,Nagpur,Road,Partner-B,Tier-2,728.0,2.99,2.2,856.0,0,2026-06-27
173,Hyderabad,Coimbatore,Road,InHouse Fleet,Tier-2,527.0,9.44,1.8,792.0,0,2026-01-07
174,Pune,Chennai,Air,Partner-A,Tier-1,524.0,6.83,1.5,1906.0,0,2026-05-06
175,Kochi,Bengaluru,Road,Partner-B,Tier-1,529.0,0.93,1.5,697.0,0,2026-03-24
176,Nagpur,Indore,Air,Partner-B,Tier-2,897.0,3.87,2.6,2607.0,1,2026-01-28
177,Hyderabad,Pune,Road,Partner-A,Tier-1,197.0,2.17,1.9,294.0,0,2026-01-10
178,Hyderabad,Pune,Road,Partner-B,Tier-1,436.0,2.36,1.3,608.0,0,2026-01-27
179,Bengaluru,Hyderabad,Road,InHouse Fleet,Tier-1,464.0,2.28,2.6,578.0,0,2026-05-21
180,Hyderabad,Kochi,Road,InHouse Fleet,Tier-2,565.0,7.77,3.0,725.0,0,2026-07-13
181,Coimbatore,Pune,Road,InHouse Fleet,Tier-1,211.0,9.95,0.8,508.0,0,2026-08-02
182,Indore,Coimbatore,Road,Partner-A,Tier-2,940.0,2.75,2.4,906.0,0,2026-07-31
183,Nagpur,Indore,Road,Partner-A,Tier-2,691.0,0.66,2.2,581.0,0,2026-07-07
184,Hyderabad,Nagpur,Road,InHouse Fleet,Tier-2,764.0,19.21,1.9,1191.0,0,2026-05-07
185,Bengaluru,Coimbatore,Road,InHouse Fleet,Tier-2,502.0,6.01,1.6,689.0,0,2026-02-12
186,Coimbatore,Hyderabad,Rail,Partner-A,Tier-1,131.0,9.49,1.0,356.0,0,2026-03-10
187,Chennai,Coimbatore,Air,InHouse Fleet,Tier-2,547.0,4.57,1.7,1700.0,0,2026-03-04
188,Indore,Nagpur,Air,Partner-A,Tier-2,628.0,0.49,1.5,1567.0,1,2026-03-11
189,Indore,Chennai,Air,Partner-A,Tier-1,158.0,7.23,1.0,1136.0,0,2026-04-09
190,Nagpur,Hyderabad,Road,Partner-A,Tier-1,348.0,15.47,1.5,786.0,0,2026-07-12
191,Indore,Chennai,Road,Partner-A,Tier-1,46.0,3.13,0.5,293.0,0,2026-08-15
192,Hyderabad,Bengaluru,Rail,Partner-B,Tier-1,148.0,0.42,1.6,269.0,1,2026-07-14
193,Bengaluru,Chennai,Road,InHouse Fleet,Tier-1,471.0,1.82,2.4,593.0,0,2026-07-01
194,Indore,Bengaluru,Road,Partner-A,Tier-1,459.0,9.81,1.6,742.0,0,2026-06-13
195,Indore,Bengaluru,Road,Partner-A,Tier-1,279.0,6.79,1.0,477.0,0,2026-03-12
197,Chennai,Hyderabad,Road,InHouse Fleet,Tier-1,167.0,12.0,2.3,573.0,1,2026-04-03
198,Pune,Kochi,Air,InHouse Fleet,Tier-2,465.0,5.37,1.5,1636.0,1,2026-05-23
199,Coimbatore,Nagpur,Road,InHouse Fleet,Tier-2,583.0,8.69,2.5,787.0,0,2026-07-22
200,Hyderabad,Coimbatore,Road,Partner-A,Tier-2,766.0,3.78,3.0,738.0,0,2026-05-26
201,Indore,Coimbatore,Rail,Partner-B,Tier-2,817.0,1.96,1.8,686.0,0,2026-08-24
202,Kochi,Nagpur,Road,InHouse Fleet,Tier-2,561.0,8.71,3.1,868.0,0,2026-05-12
204,Bengaluru,Indore,Road,Partner-B,Tier-2,442.0,9.92,1.7,801.0,0,2026-08-04
205,Pune,Bengaluru,Air,InHouse Fleet,Tier-1,398.0,3.2,1.8,1351.0,0,2026-01-11
206,Coimbatore,Bengaluru,Rail,InHouse Fleet,Tier-1,202.0,14.55,2.3,447.0,0,2026-05-14
207,Kochi,Hyderabad,Road,Partner-A,Tier-1,257.0,14.82,1.6,736.0,0,2026-05-02
209,Nagpur,Chennai,Road,InHouse Fleet,Tier-1,589.0,2.3,1.6,667.0,0,2026-06-28
210,Coimbatore,Bengaluru,Rail,InHouse Fleet,Tier-1,499.0,2.4,1.1,449.0,0,2026-07-05
211,Indore,Coimbatore,Air,InHouse Fleet,Tier-2,678.0,2.5,1.5,1870.0,0,2026-07-07
212,Indore,Hyderabad,Air,Partner-A,Tier-1,121.0,4.83,1.2,931.0,0,2026-01-18
213,Coimbatore,Chennai,Road,Partner-A,Tier-1,388.0,3.93,1.5,572.0,0,2026-07-26
214,Indore,Hyderabad,Rail,InHouse Fleet,Tier-1,541.0,1.56,2.1,535.0,1,2026-03-08
215,Hyderabad,Chennai,Air,Partner-A,Tier-1,282.0,2.57,1.5,983.0,0,2026-05-25
216,Coimbatore,Chennai,Road,Partner-B,Tier-1,593.0,0.51,2.9,631.0,0,2026-04-07
217,Pune,Nagpur,Air,InHouse Fleet,Tier-2,883.0,,1.5,2311.0,0,2026-02-03
218,Coimbatore,Bengaluru,Road,InHouse Fleet,Tier-1,649.0,1.26,2.4,743.0,0,2026-06-07
220,Indore,Hyderabad,Road,InHouse Fleet,Tier-1,405.0,18.52,1.8,989.0,0,2026-05-27
221,Hyderabad,Kochi,Road,InHouse Fleet,Tier-2,756.0,17.06,2.7,1101.0,0,2026-05-17
224,Pune,Coimbatore,Road,Partner-B,Tier-2,905.0,9.07,2.7,1057.0,0,2026-06-17
225,Chennai,Kochi,Road,Partner-A,Tier-2,731.0,3.23,2.3,857.0,0,2026-02-13
226,Chennai,Coimbatore,Road,Partner-A,Tier-2,560.0,1.23,2.0,584.0,1,2026-04-05
227,Coimbatore,Indore,Road,InHouse Fleet,Tier-2,569.0,5.28,2.4,773.0,0,2026-07-06
228,Nagpur,Bengaluru,Road,Partner-A,Tier-1,393.0,7.38,1.4,596.0,0,2026-04-01
230,Coimbatore,Pune,Road,InHouse Fleet,Tier-1,118.0,2.79,1.0,181.0,0,2026-04-21
232,Pune,Coimbatore,Road,Partner-A,Tier-2,624.0,7.09,3.5,713.0,0,2026-06-02
233,Pune,Chennai,Rail,InHouse Fleet,Tier-1,547.0,1.8,2.6,523.0,0,2026-03-12
234,Pune,Hyderabad,Air,Partner-B,Tier-1,40.0,3.28,0.5,545.0,0,2026-02-22
235,Pune,Bengaluru,Road,InHouse Fleet,Tier-1,626.0,4.34,2.9,810.0,1,2026-06-25
236,Pune,Kochi,Road,InHouse Fleet,Tier-2,852.0,17.4,3.3,1301.0,0,2026-03-12
237,Nagpur,Hyderabad,Air,InHouse Fleet,Tier-1,267.0,2.53,1.1,772.0,0,2026-07-31
238,Nagpur,Hyderabad,Road,Partner-A,Tier-1,448.0,7.35,1.6,697.0,0,2026-02-22
239,Hyderabad,Pune,Road,Partner-A,Tier-1,351.0,2.19,1.3,363.0,0,2026-04-18
240,Kochi,Coimbatore,Road,InHouse Fleet,Tier-2,871.0,1.91,3.1,800.0,0,2026-06-26
241,Chennai,Bengaluru,Air,Partner-A,Tier-1,527.0,2.78,0.9,1503.0,0,2026-06-20
242,Indore,Hyderabad,Road,InHouse Fleet,Tier-1,98.0,5.43,1.9,179.0,0,2026-08-16
243,Pune,Bengaluru,Road,Partner-A,Tier-1,456.0,15.83,2.8,903.0,0,2026-01-19
244,Bengaluru,Chennai,Rail,InHouse Fleet,Tier-1,313.0,3.17,1.6,309.0,0,2026-03-07
245,Indore,Pune,Air,InHouse Fleet,Tier-1,365.0,9.97,2.0,1619.0,0,2026-06-11
246,Nagpur,Chennai,Road,Partner-B,Tier-1,219.0,17.97,1.2,728.0,0,2026-07-28
248,Bengaluru,Indore,Air,InHouse Fleet,Tier-2,965.0,6.47,1.3,2820.0,0,2026-08-04
249,Bengaluru,Kochi,Road,Partner-A,Tier-2,837.0,11.26,3.5,1174.0,1,2026-07-20
250,Hyderabad,Bengaluru,Road,Partner-B,Tier-1,217.0,2.65,2.4,429.0,0,2026-07-01
251,Nagpur,Coimbatore,Road,InHouse Fleet,Tier-2,410.0,7.21,3.1,616.0,1,2026-01-01
252,Bengaluru,Hyderabad,Rail,InHouse Fleet,Tier-1,281.0,8.59,1.7,521.0,0,2026-04-16
253,Pune,Hyderabad,Road,InHouse Fleet,Tier-1,428.0,1.48,2.5,585.0,0,2026-08-08
254,Coimbatore,Chennai,Air,Partner-A,Tier-1,393.0,2.42,1.5,1290.0,0,2026-02-24
255,Bengaluru,Kochi,Air,InHouse Fleet,Tier-2,876.0,4.18,2.5,2634.0,1,2026-01-15
256,Hyderabad,Pune,Road,Partner-A,Tier-1,492.0,2.85,2.4,557.0,0,2026-05-07
261,Bengaluru,Coimbatore,Air,InHouse Fleet,Tier-2,825.0,4.59,2.1,2320.0,1,2026-08-01
262,Nagpur,Kochi,Road,Partner-B,Tier-2,709.0,1.26,1.9,656.0,0,2026-01-15
263,Coimbatore,Chennai,Air,InHouse Fleet,Tier-1,100.0,16.81,0.9,1495.0,0,2026-05-01
264,Bengaluru,Chennai,Road,InHouse Fleet,Tier-1,315.0,10.69,2.2,663.0,0,2026-05-31
265,Hyderabad,Nagpur,Road,Partner-A,Tier-2,841.0,37.23,3.3,1698.0,0,2026-03-07
266,Chennai,Coimbatore,Road,InHouse Fleet,Tier-2,641.0,1.67,3.0,658.0,1,2026-06-23
269,Indore,Coimbatore,Road,Partner-B,Tier-2,741.0,7.42,2.7,857.0,0,2026-08-16
270,Hyderabad,Pune,Road,Partner-B,Tier-1,293.0,2.88,1.3,377.0,0,2026-04-24
271,Nagpur,Coimbatore,Road,Partner-A,Tier-2,465.0,1.9,2.0,627.0,0,2026-05-17
272,Kochi,Coimbatore,Road,Partner-B,Tier-2,628.0,10.28,2.4,924.0,0,2026-07-13
273,Kochi,Bengaluru,Road,InHouse Fleet,Tier-1,406.0,5.56,2.0,550.0,0,2026-07-13
274,Kochi,Chennai,Road,InHouse Fleet,Tier-1,232.0,3.96,0.9,461.0,0,2026-05-26
275,Bengaluru,Kochi,Rail,Partner-A,Tier-2,608.0,6.61,2.0,635.0,0,2026-05-25
276,Pune,Coimbatore,Road,Partner-A,Tier-2,481.0,2.51,2.0,584.0,0,2026-08-21
277,Bengaluru,Kochi,Air,InHouse Fleet,Tier-2,851.0,2.44,0.9,2427.0,0,2026-03-13
279,Bengaluru,Coimbatore,Road,InHouse Fleet,Tier-2,597.0,2.97,2.8,671.0,0,2026-04-08
280,Chennai,Hyderabad,Road,InHouse Fleet,Tier-1,611.0,11.73,2.5,978.0,0,2026-06-11
281,Pune,Chennai,Road,InHouse Fleet,Tier-1,625.0,11.08,2.5,970.0,0,2026-07-16
282,Pune,Hyderabad,Road,Partner-A,Tier-1,335.0,1.59,1.4,413.0,0,2026-07-11
283,Nagpur,Kochi,Road,InHouse Fleet,Tier-2,468.0,16.33,2.4,826.0,0,2026-02-13
284,Indore,Kochi,Road,InHouse Fleet,Tier-2,275.0,5.2,1.1,458.0,0,2026-06-06
286,Hyderabad,Kochi,Road,Partner-A,Tier-2,385.0,7.33,1.5,678.0,0,2026-07-09
287,Bengaluru,Hyderabad,Rail,Partner-B,Tier-1,103.0,2.89,1.6,245.0,0,2026-08-08
289,Bengaluru,Coimbatore,Road,InHouse Fleet,Tier-2,898.0,5.42,3.2,1126.0,0,2026-01-16
290,Kochi,Bengaluru,Road,Partner-B,Tier-1,371.0,1.89,1.1,432.0,0,2026-03-19
291,Bengaluru,Nagpur,Road,Partner-A,Tier-2,720.0,2.71,3.5,843.0,1,2026-02-21
292,Hyderabad,Kochi,Road,InHouse Fleet,Tier-2,250.0,9.69,1.1,487.0,0,2026-01-02
293,Bengaluru,Hyderabad,Road,Partner-A,Tier-1,134.0,9.85,1.2,459.0,0,2026-08-20
294,Chennai,Kochi,Road,Partner-B,Tier-2,810.0,7.58,3.8,1065.0,1,2026-03-02
295,Chennai,Kochi,Road,InHouse Fleet,Tier-2,702.0,3.75,1.8,860.0,0,2026-05-12
